date;unidad
07/09/2022;25
07/09/2022;20
07/09/2022;61
07/09/2022;71
08/09/2022;65
08/09/2022;149
08/09/2022;32
08/09/2022;52
08/09/2022;6
08/09/2022;96
09/09/2022;7
09/09/2022;3
09/09/2022;134
09/09/2022;28
09/09/2022;33
09/09/2022;105
12/09/2022;4
12/09/2022;49
12/09/2022;47
12/09/2022;2
12/09/2022;85
12/09/2022;43
12/09/2022;3
12/09/2022;15
12/09/2022;126
13/09/2022;2
13/09/2022;2
13/09/2022;1
13/09/2022;61
13/09/2022;22
13/09/2022;43
13/09/2022;28
13/09/2022;82
14/09/2022;32
14/09/2022;44
14/09/2022;1
14/09/2022;2
14/09/2022;103
14/09/2022;59
14/09/2022;25
14/09/2022;8
14/09/2022;140
15/09/2022;11
15/09/2022;2
15/09/2022;75
15/09/2022;37
15/09/2022;1
15/09/2022;4
15/09/2022;106
16/09/2022;1
16/09/2022;69
16/09/2022;70
16/09/2022;53
16/09/2022;4
16/09/2022;8
16/09/2022;140
19/09/2022;2
19/09/2022;65
19/09/2022;76
19/09/2022;7
19/09/2022;11
19/09/2022;79
20/09/2022;53
20/09/2022;18
20/09/2022;13
20/09/2022;23
21/09/2022;1
21/09/2022;1
21/09/2022;60
21/09/2022;58
21/09/2022;1
21/09/2022;31
21/09/2022;224
22/09/2022;17
22/09/2022;2
22/09/2022;64
22/09/2022;27
22/09/2022;33
22/09/2022;4
22/09/2022;79
23/09/2022;1
23/09/2022;2
23/09/2022;1
23/09/2022;5
23/09/2022;25
23/09/2022;4
23/09/2022;8
23/09/2022;48
25/09/2022;1
26/09/2022;1
26/09/2022;74
26/09/2022;42
26/09/2022;20
26/09/2022;14
26/09/2022;77
27/09/2022;1
27/09/2022;24
27/09/2022;4
27/09/2022;32
27/09/2022;380
28/09/2022;1
28/09/2022;1
28/09/2022;1
28/09/2022;79
28/09/2022;20
28/09/2022;1
28/09/2022;11
28/09/2022;162
29/09/2022;1
29/09/2022;81
29/09/2022;36
29/09/2022;43
29/09/2022;3
29/09/2022;89
30/09/2022;5
30/09/2022;1
30/09/2022;45
30/09/2022;2
30/09/2022;21
30/09/2022;40
03/10/2022;62
03/10/2022;5
03/10/2022;81
03/10/2022;87
04/10/2022;2
04/10/2022;1
04/10/2022;32
04/10/2022;21
04/10/2022;55
04/10/2022;57
05/10/2022;4
05/10/2022;80
05/10/2022;123
05/10/2022;8
05/10/2022;10
05/10/2022;185
06/10/2022;9
06/10/2022;3
06/10/2022;54
06/10/2022;381
06/10/2022;13
06/10/2022;17
06/10/2022;94
07/10/2022;1
07/10/2022;39
07/10/2022;2
07/10/2022;18
07/10/2022;4
09/10/2022;1
10/10/2022;114
10/10/2022;68
10/10/2022;22
10/10/2022;5
10/10/2022;94
11/10/2022;34
11/10/2022;14
11/10/2022;108
11/10/2022;72
12/10/2022;4
12/10/2022;2
12/10/2022;85
12/10/2022;2
12/10/2022;29
12/10/2022;13
12/10/2022;25
12/10/2022;168
13/10/2022;2
13/10/2022;30
13/10/2022;1
13/10/2022;7
13/10/2022;59
14/10/2022;2
14/10/2022;5
14/10/2022;65
14/10/2022;27
14/10/2022;33
14/10/2022;5
14/10/2022;137
16/10/2022;1
17/10/2022;1
17/10/2022;27
17/10/2022;17
17/10/2022;6
17/10/2022;145
18/10/2022;1
18/10/2022;73
18/10/2022;29
18/10/2022;11
18/10/2022;52
18/10/2022;105
19/10/2022;16
19/10/2022;59
19/10/2022;32
19/10/2022;13
19/10/2022;45
19/10/2022;146
20/10/2022;1
20/10/2022;3
20/10/2022;58
20/10/2022;39
20/10/2022;1
20/10/2022;12
20/10/2022;115
21/10/2022;1
21/10/2022;39
21/10/2022;51
21/10/2022;6
21/10/2022;9
21/10/2022;108
24/10/2022;1
24/10/2022;42
24/10/2022;51
24/10/2022;3
24/10/2022;10
24/10/2022;97
25/10/2022;1
25/10/2022;39
25/10/2022;26
25/10/2022;37
25/10/2022;81
26/10/2022;6
26/10/2022;1
26/10/2022;77
26/10/2022;35
26/10/2022;28
26/10/2022;9
26/10/2022;170
27/10/2022;1
27/10/2022;40
27/10/2022;27
27/10/2022;6
27/10/2022;74
28/10/2022;57
28/10/2022;35
28/10/2022;5
28/10/2022;7
28/10/2022;121
30/10/2022;1
31/10/2022;2
