,date,unidad
4863,2022-07-15 15:27:09,1
4864,2022-07-15 15:32:02,1
4865,2022-07-15 16:00:00,14
4866,2022-07-15 17:00:00,17
4867,2022-07-15 20:00:00,1
4868,2022-07-15 23:00:00,69
4869,2022-07-17 15:00:00,26
4870,2022-07-18 14:56:35,42
4871,2022-07-18 16:00:00,84
4872,2022-07-18 17:00:00,14
4873,2022-07-18 18:00:00,1
4874,2022-07-18 20:00:00,1
4875,2022-07-18 22:00:00,15
4876,2022-07-18 23:00:00,101
4877,2022-07-19 00:00:00,6
4878,2022-07-19 13:39:06,14
4879,2022-07-19 15:00:00,5
4880,2022-07-19 17:00:00,10
4881,2022-07-19 18:09:16,1
4882,2022-07-19 20:00:00,2
4883,2022-07-19 22:00:00,35
4884,2022-07-19 23:00:00,51
4885,2022-07-20 14:16:50,1
4886,2022-07-20 14:41:35,18
4887,2022-07-20 15:00:00,11
4888,2022-07-20 16:00:00,74
4889,2022-07-20 17:00:00,12
4890,2022-07-20 18:00:00,1
4891,2022-07-20 20:00:00,2
4892,2022-07-20 22:00:00,24
4893,2022-07-20 23:00:00,55
4894,2022-07-21 00:00:00,3
4895,2022-07-21 15:00:00,6
4896,2022-07-21 15:02:21,8
4897,2022-07-21 16:00:00,48
4898,2022-07-21 17:00:00,18
4899,2022-07-21 20:00:00,1
4900,2022-07-21 20:01:00,1
4901,2022-07-21 22:00:00,4
4902,2022-07-21 23:00:00,118
4903,2022-07-22 14:51:56,14
4904,2022-07-22 17:00:00,20
4905,2022-07-22 22:00:00,17
4906,2022-07-22 23:00:00,80
4907,2022-07-24 15:00:00,1
4908,2022-07-25 11:32:01,2
4909,2022-07-25 14:55:15,1
4910,2022-07-25 15:20:11,30
4911,2022-07-25 17:00:00,20
4912,2022-07-25 18:00:00,3
4913,2022-07-25 20:00:00,6
4914,2022-07-25 22:00:00,4
4915,2022-07-25 23:00:00,35
4916,2022-07-26 00:00:00,2
4917,2022-07-26 15:00:00,2
4918,2022-07-26 15:27:46,20
4919,2022-07-26 16:00:00,58
4920,2022-07-26 17:00:00,12
4921,2022-07-26 20:00:00,3
4922,2022-07-26 22:00:00,16
4923,2022-07-26 23:00:00,156
4924,2022-07-27 14:00:00,1
4925,2022-07-27 15:06:47,18
4926,2022-07-27 17:00:00,15
4927,2022-07-27 22:00:00,32
4928,2022-07-27 23:00:00,71
4929,2022-07-28 15:08:05,18
4930,2022-07-28 17:00:00,17
4931,2022-07-28 20:00:00,11
4932,2022-07-28 22:00:00,3
4933,2022-07-28 23:00:00,40
4934,2022-07-29 00:00:00,1
4935,2022-07-29 11:22:05,1
4936,2022-07-29 13:55:24,15
4937,2022-07-29 16:00:00,22
4938,2022-07-29 17:00:00,9
4939,2022-07-29 20:00:00,15
4940,2022-07-29 22:00:00,7
4941,2022-07-29 23:00:00,96
4942,2022-07-31 15:00:00,1
4943,2022-08-01 00:00:00,6
4944,2022-08-01 13:42:06,2
4945,2022-08-01 14:41:52,41
4946,2022-08-01 17:00:00,16
4947,2022-08-01 20:00:00,1
4948,2022-08-01 22:00:00,5
4949,2022-08-01 23:00:00,21
4950,2022-08-02 09:00:00,1
4951,2022-08-02 14:21:10,18
4952,2022-08-02 15:00:00,1
4953,2022-08-02 16:00:00,59
4954,2022-08-02 17:00:00,13
4955,2022-08-02 20:00:00,17
4956,2022-08-02 22:00:00,10
4957,2022-08-02 23:00:00,141
4958,2022-08-03 14:29:53,23
